id,name,category_id,price,quantity,created_at,barcode,is_deleted,deleted_at,unit
160,VITA KERATIN BRAZILIAN STRAIGHT (22ML),30,6,6,2025-08-31 08:26:04.02126+00,4800888230447,false,,pcs
163,REJOICE 3IN1 RICH MAGNOLIA 4WASHES (16ML),30,9,8,2025-08-31 08:28:49.855587+00,4902430698078,false,,pcs
165,DOVE SHAMPOO BIO-KERATIN STRAIGHT & SILKY (13.5ML),30,8,11,2025-08-31 08:30:31.782819+00,4800888212917,false,,pcs
167,DOVE SHAMPOO BIOTIN HAIRFALL RESCUE (12ML),30,6,18,2025-08-31 08:31:27.156267+00,4800888179593,false,,pcs
168,TANG GRAPES (19g),31,21,30,2025-08-31 08:31:37.602094+00,7622300637996,false,,pcs
169,PANTENE SHAMPOO HAIRFALL CONTROL (15ML),30,8,5,2025-08-31 08:38:19.445263+00,4902430698085,false,,pcs
170,HEAD & SHOULDER COOL MENTHOL (12ML),30,8,48,2025-08-31 08:40:43.529725+00,4902430333597,false,,pcs
171,CLEAR MEN COOL SPORT MENTHOL (12ML),30,7,4,2025-08-31 08:41:49.512418+00,4800888151704,false,,pcs
172,CLEAR ANTI DANDRUFF COMPLETE SOFT CARE (13ML),30,7,4,2025-08-31 08:43:30.912944+00,4800888141194,false,,pcs
173,HEAD & SHOULDER  APPLE FRESH (12ML),30,8,5,2025-08-31 08:47:23.714773+00,4902430726993,false,,pcs
174,HEAD & SHOULDER SMOOTH AND SILKY (12ML),30,8,38,2025-08-31 08:48:16.462551+00,4902430698658,false,,pcs
175,HEAD & SHOULDER ULTRA MEN COOL MENTHOL (12ML),30,9,2,2025-08-31 08:49:12.463101+00,4902430522809,false,,pcs
176,BABBYFLO GENTLE BUDS PLIABLE PAPER STEM 108TIPS,30,28,2,2025-08-31 08:51:04.560574+00,4800067055113,false,,pcs
177,BABY FLO ABSORBENT COTTON BUDS 108TIPS,30,29,2,2025-08-31 08:52:09.409853+00,4800067054116,false,,pcs
178,HAPPY COTTON BUDS 36TIPS,30,5,1,2025-08-31 08:52:47.491198+00,4802288320360,false,,pcs
179,BABY FLO COLORBUDS GENTLE BUDS 200TIPS,30,42,0,2025-08-31 08:53:52.222339+00,4800067054505,false,,pcs
180,CLOSE UP TWIN RED HOT ALL DAY FRESHNESS (2x10G),30,10,23,2025-08-31 09:04:15.970211+00,4800888147288,false,,pcs
181,CLOSE UP MENTOL FRESH ALL DAY FRESHNESS (2x10G),30,10,3,2025-08-31 09:05:33.875213+00,4800888147240,false,,pcs
182,CLOSE UP COOL MINT ALL AROUND FRESH (2x10G),30,10,1,2025-08-31 09:06:39.101421+00,8999999556280,false,,pcs
183,COLGATE CHARCOAL CLEAN (20G),30,11,5,2025-08-31 09:07:39.75896+00,6920354832123,false,,pcs
184,EXTRA PREMIUM ABSORBENT COTTON (25G),30,15,5,2025-08-31 09:09:23.929156+00,4806506150364,false,,pcs
185,CLEENE ROLL PURE AND ABSORBENT COTTON (25G),30,19,2,2025-08-31 09:10:31.045319+00,4800067112069,false,,pcs
186,WIPE ABSORBENT COTTON (90G),30,45,0,2025-08-31 09:11:34.867075+00,4800067113035,false,,pcs
187,SMILE TISSUE ROLL SOFTER (180G),30,33,1,2025-08-31 09:24:26.92654+00,4809012063708,false,,pcs
188,SMILE 2-PLY SOFT AND STRONG (90G),30,18,8,2025-08-31 09:26:24.154468+00,6903244670524,false,,pcs
189,HEARTTEX GREEN TEA (180G),30,38,9,2025-08-31 09:27:37.285114+00,6922868287611,false,,pcs
190,HEARTTEX EXTRA SOFT 3-PLY (190G),30,38,16,2025-08-31 09:28:43.096611+00,6903244958110,false,,pcs
191,SUYA TISSUE 480P,30,20,8,2025-08-31 09:33:13.840943+00,6970020660819,false,,pcs
192,GREEN TEA LEAF ULTRA STRONG 360SHEETS,30,27,4,2025-08-31 09:34:26.055154+00,4809012063821,false,,pcs
193,CLOSE UP MENTOL FRESH (120G),30,75,1,2025-08-31 09:37:04.341262+00,8934839125677,false,,pcs
194,CLOSE UP RED HOT (2x120G),30,148,3,2025-08-31 09:38:29.646902+00,8934839125691,false,,pcs
195,COLGATE SPICY FRESH (110G),30,111,1,2025-08-31 09:40:41.826196+00,6920354837678,false,,pcs
196,CLOSE UP RED HOT (50ML),30,71,2,2025-08-31 09:41:31.664508+00,4800888113481,false,,pcs
197,UNIQUE HOT MINT FRESH (50ML),30,33,1,2025-08-31 09:45:01.893142+00,4800045340231,false,,pcs
198,HAPEE KIDDIE ORANGE SQUEEZE 50ML(62G),30,55.75,1,2025-08-31 09:46:33.647104+00,4800034012446,false,,pcs
199,COLGATE TOOTHBRUSH CLASSIC,30,15,4,2025-08-31 09:48:11.827927+00,4808888320106,false,,pcs
200,MENU MAGIC INSTANT UNFLAVORED JELLY MIX CLEAR (24G),31,15,0,2025-08-31 09:48:44.548773+00,4809011815322,false,,pcs
201,TOOTHPICK,30,20,9,2025-08-31 09:49:24.587297+00,6936805400094,false,,pcs
202,MENU MAGIC INSTANT UNFLAVORED JELLY MIX YELLOW (24G),31,15,7,2025-08-31 09:51:56.694039+00,4806526400128,false,,pcs
203,SISTERS DAY MAXI 12PADS,30,32,4,2025-08-31 10:01:26.508048+00,4806506318894,false,,pcs
204,SISTERS DAY MAXI,30,36,5,2025-08-31 10:03:24.369349+00,4806506318818,false,,pcs
205,SISTERS OVERNIGHT DRY 4+1PAD,30,32,1,2025-08-31 10:06:19.286718+00,4806506318900,false,,pcs
206,SISTERS DAY MAXI 8+1 PAD,30,26,0,2025-08-31 10:07:27.530865+00,4806506318832,false,,pcs
207,SISTERS NIGHT PLUS HEAVY FLOW 8PADS,30,28,1,2025-08-31 10:08:41.960876+00,4806506318856,false,,pcs
208,SISTERS NIGHT PLUS HEAVY FLOW 8+1PLUS,30,32,1,2025-08-31 10:09:56.983211+00,4806506318863,false,,pcs
209,BAYGON MOSQUITO COIL BASE 1BOX,30,24,2,2025-08-31 10:18:50.206207+00,4801234134419,false,,pcs
210,SISTERS ULTRA COMFORT PREMIUM 6PADS,30,28,0,2025-08-31 10:20:31.224739+00,4806506318887,false,,pcs
211,SISTERS PANTYLINERS 20+2PANTYLINERS,30,22,6,2025-08-31 10:22:11.981902+00,4806506318917,false,,pcs
212,SISTERS PANTYLINERS 20PCS LONGER PANTYLINERS,30,41,4,2025-08-31 10:22:59.213704+00,4806506318788,false,,pcs
213,CHARMEE PANTYLINERS UNSCENTED 8PCS,30,12,2,2025-08-31 10:24:21.399344+00,4800488011422,false,,pcs
214,CHARMEE PANTYLINERS GO GIRL 8PCS,30,10,1,2025-08-31 10:25:28.517624+00,4800488958604,false,,pcs
215,HEARTTEX SWEET BLUE PACK,30,36,6,2025-08-31 10:26:39.599001+00,6922868286348,false,,pcs
216,HEARTTEX PINK PACK,30,40,1,2025-08-31 10:28:02.793381+00,6922868285273,false,,pcs
217,HEARTTEX SWEET BLUE PCS,30,7,20,2025-08-31 10:29:36.831244+00,4809012063159,false,,pcs
218,GUIWANG CHERRY BLOSSOM,30,30,0,2025-08-31 10:44:21.851174+00,753068675917,true,2025-09-27 12:02:15.9+00,pcs
219,YAH INCENSE JASMIN 30PCS,30,25,8,2025-08-31 10:49:20.849392+00,01234567890,false,,pcs
220,WHISPER SUPER CLEAN&DRY 8PADS,30,79,2,2025-08-31 10:59:20.88228+00,4902430954280,false,,pcs
221,SOFY PURE FRESH 8+1PAD,30,23,2,2025-08-31 11:00:30.690145+00,9887410005754,false,,pcs
222,CHARMEE YELLOW WITH WINGS 12PADS,30,31,2,2025-08-31 11:02:04.525063+00,4800488100188,false,,pcs
223,CHARMEE 8PADS,30,30,2,2025-08-31 11:03:11.231102+00,4800488101314,false,,pcs
224,DESSERT JELLEE GULAMAN POWDER UNSWEETENED 24g,31,20,4,2025-08-31 11:09:53.95612+00,4809013128079,false,,pcs
225,CHARMEE 8+1PADS,30,30,2,2025-08-31 11:13:12.627923+00,4800488960201,false,,pcs
226,CHARMEE NO WINGS 12PADS,30,29,2,2025-08-31 11:19:08.958554+00,4800488960669,false,,pcs
227,FREEDA NON WINGS 8+1PAD,30,19,1,2025-08-31 11:20:33.478578+00,4806525620022,false,,pcs
228,FREEDA ALL DAY COTTONY 8+1PADS,30,22,1,2025-08-31 11:21:37.517039+00,4806525620015,false,,pcs
229,MR. HAT GULAMAN ORANGE 25g,31,16,2,2025-08-31 11:22:54.703293+00,4809013526332,false,,pcs
230,EQ PLUS+ DISPOSABLE BABY DIAPERS L4/PCS,30,37,0,2025-08-31 11:29:52.176291+00,4800488029939,false,,pcs
231,EQ PLUS+ DISPOSABLE BABY DIAPERS S4/PCS,30,24.5,2,2025-08-31 11:31:34.772415+00,4800488029915,false,,pcs
232,EQ DISPOSABLE BABY DIAPERS NEWBORN-S4/PCS,30,24,1,2025-08-31 11:35:51.641169+00,4800488070443,false,,pcs
233,EQ DRY DISPOSABLE BABY DIAPERS L4/PCS,30,49,6,2025-08-31 11:37:15.677165+00,4800488958796,false,,pcs
234,EQPLUS+ DISPOSABLE BABY DIAPERS M4/PCS,30,37,0,2025-08-31 11:39:33.331755+00,4800488029922,false,,pcs
235,EQ DRY NEWBORN 4/PCS,30,36,6,2025-08-31 11:40:32.49727+00,4800488958826,false,,pcs
236,EQ DRY S4/PCS,30,36,4,2025-08-31 11:41:13.331505+00,4800488958772,false,,pcs
237,EQ DRY M 4/PCS,30,37,5,2025-08-31 11:43:32.976838+00,4800488958789,false,,pcs
238,BAYBIKO BABY WIPES POWDER FRESH 80+20MORE FREE,30,45,1,2025-08-31 11:50:20.358015+00,4806525621289,false,,pcs
239,BEYBIKO BABYWIPES UNSCENTED 80+20MORE FREE,30,45,0,2025-08-31 11:51:45.346837+00,4806525621333,false,,pcs
240,TENDER LOVE BABY WIPES UNSCENTED,30,50,1,2025-08-31 11:53:26.230485+00,4806525541389,false,,pcs
241,TENDER LOVE CLEANSING WIPES ALOE VERA 100SHEETS,30,48,1,2025-08-31 11:54:41.334004+00,4806525543543,false,,pcs
242,TENDER LOVE CLEANSING WIPES LAVENDER 80SHEETS,30,32,1,2025-08-31 11:56:17.179795+00,4806525546629,false,,pcs
243,BEYBIKO BABY WIPES FLORAL BLOSSOM 80+20MORE SHEETS,30,45,2,2025-08-31 11:57:17.85461+00,4806525621340,false,,pcs
244,NURSY BABY WIPES UNSCENTED 66+6 FREE WIPES,30,70,2,2025-08-31 11:58:30.382092+00,4800488958147,false,,pcs
245,UNI-LOVE BABY WIPES SCENTED80+20FREE,30,112,2,2025-08-31 12:03:10.928059+00,4806525540771,false,,pcs
246,NURSY UNSCENTED BABY WIPES 90SHEETS,30,102,1,2025-08-31 12:04:36.220339+00,4800488958116,false,,pcs
247,NURSY BABY WIPES POWDER SCENTT 66SHEETS,30,73,1,2025-08-31 12:05:59.37642+00,4800488959328,false,,pcs
248,NURSY BABY WIPES POWDER SCENT 30SHEETS,30,46,1,2025-08-31 12:10:04.868932+00,4800488070702,false,,pcs
249,CHERUB SCENTED WIPES ALOE VERA 15SHEETS,30,24,2,2025-08-31 12:12:04.130289+00,0001,false,,pcs
250,TENDER LOVE BABY WIPES SCENTED,30,19,1,2025-08-31 12:12:57.372178+00,4806525540283,false,,pcs
251,TENDER LOVE CLEANSING WIPES ALOE VERA 20SHEETS,30,19,1,2025-08-31 12:13:51.592127+00,4806525543550,false,,pcs
252,EQ PANTS S10/PCS,30,79,2,2025-08-31 12:19:49.412108+00,4800488963844,false,,pcs
253,EQ PANTS POWDER SCENTED CORE NEWBORN-S 18/PCS,30,108,2,2025-08-31 12:22:38.930261+00,4800488070221,false,,pcs
254,EQ PANTS M 10/PCS,30,88,2,2025-08-31 12:23:48.11803+00,4800488960287,false,,pck
255,EQ DRY XXL 12/PCS,30,192,4,2025-08-31 12:25:07.521704+00,4800488959021,false,,pcs
256,SMILE SUPER DRY BABY DIAPER S 15/PCS,30,110,1,2025-08-31 12:27:03.012307+00,6903244540827,false,,pcs
257,EQ DRY +1FREE PAD L 16/PCS,30,193,1,2025-08-31 12:33:21.795993+00,4800488958963,false,,pcs
258,EQ DRY BABY DIAPERS NEW BORN 22/PCS,30,176,1,2025-08-31 12:34:47.098894+00,4800488958895,false,,pcs
259,PAMPERS EASY PALIR PANTS M4PANTS,30,69,2,2025-08-31 12:45:55.841355+00,4902430746984,false,,pcs
260,PAMPERS  NEW BORN 20 DIAPERS,30,190,4,2025-08-31 12:47:08.8783+00,4902430615303,false,,pcs
261,PAMPERS S 18DIAPERS,30,222,2,2025-08-31 12:48:10.403382+00,4902430615266,false,,pcs
262,PAMPERS M 16DIAPERS,30,190,4,2025-08-31 12:49:48.834759+00,4902430615532,false,,pcs
263,PAMPERS PANTS RASH SHIELD WITH ALOE VERA M 16DIAPERS,30,179,6,2025-08-31 12:51:34.252204+00,4902430766142,false,,pcs
264,PAMPERS AIRCON-DRY TAPED L 14DIAPERS,30,221,1,2025-08-31 12:52:29.784375+00,4902430615426,false,,pcs
265,MAMYPOKO PANTS DAY&NIGHT S 22/PCS,30,161,1,2025-08-31 12:56:35.977578+00,8993189701184,false,,pcs
266,NESTLE CERELAC MIXED VEGETABLES & SOYA 120G,31,80,0,2025-08-31 14:43:21.644984+00,9556001132222,false,,pcs
267,MAMYPOKO PANTS DAY&NIGHT XXL PANTS  14PCS,30,161,1,2025-08-31 14:44:04.224126+00,8993189701269,false,,pcs
268,NESTLE CERELAC MIXED & SOYA 120G,31,80,0,2025-08-31 14:44:39.670856+00,9556001132154,true,2025-09-19 02:16:52.91+00,pcs
269,BONNA 0-6 MONTHS 150G,31,133,1,2025-08-31 14:45:57.00773+00,4800153151187,false,,pcs
270,NESTLE CERELAC RICE & SOYA 120G,31,80,2,2025-08-31 14:46:34.778724+00,9556001132338,false,,pcs
271,LACTUM 0-6 MONTHS 1.15KG,31,939,1,2025-08-31 14:48:06.433267+00,8712045030387,false,,pcs
272,NESTOGEN 1-3 YEARS 135G,31,89,3,2025-08-31 14:48:48.924073+00,4800361389365,false,,pcs
273,NESTOGEN 0-6 MONTHS 135G,31,85,1,2025-08-31 14:52:57.473439+00,4800361378376,false,,pcs
274,NESTLE NESTOGEN 0-6 MONTHS 340G,31,212,1,2025-08-31 14:55:05.822195+00,4800361348607,false,,pcs
275,NESTLE NESTOGEN CLASSIC INFANT FORMULA 135G,31,67,3,2025-08-31 14:55:58.036692+00,4800361363129,false,,pcs
276,CARESS  VIOLET XL 8UNDERPADS,30,175,1,2025-08-31 14:56:11.21959+00,4800488958888,false,,pcs
277,CARESS PLAIN BLUE L 8UNDERPADS,30,168,1,2025-08-31 14:57:49.129635+00,4800488099758,false,,pcs
278,NESTLE KOKOKRUNCH 330G,31,211,0,2025-08-31 14:58:33.908006+00,4800361000239,false,,pcs
279,WHITE KING HOTCAKE MIX CREAMY CLASSIC 400G,31,72,0,2025-08-31 15:00:20.651949+00,4800110006727,false,,pcs
280,CARESS  BASIC ADULT DIAPER M 1PAD,30,21,5,2025-08-31 15:02:40.628969+00,4800488070023,false,,pcs
281,STARR BABYPANTS M 10PCS,30,102,1,2025-08-31 15:03:47.501518+00,6903244541473,false,,pcs
282,STAR BABYPANTS XL 10PCS,30,121,1,2025-08-31 15:05:20.383938+00,6903244541497,false,,pcs
283,STAR SOFT CLOTH-LIKE DIAPER S 20PCS,30,143,1,2025-08-31 15:06:26.077343+00,6903244541503,false,,pcs
284,STAR BABYPANTS L 20PCS,30,217,1,2025-08-31 15:07:28.084796+00,6903244541527,false,,pcs
286,CREAM ALL PURPOSE FLOUR 80G,31,16,3,2025-08-31 15:08:24.60609+00,731126012003,false,,pcs
287,QUAKER WHOLE GRAIN ROLLED OATS 500G,31,124,0,2025-08-31 15:13:07.49086+00,4800274506002,false,,pcs
288,COFFEE BLENDS HAZELNUT BARAKO DRIP COFFEE 10PCS,31,206,1,2025-08-31 15:14:41.413182+00,0002,false,,pcs
289,CARESS BASIC L 2PADS,30,50,2,2025-08-31 15:15:33.380086+00,4800488959236,false,,pcs
290,COFFEE BLEND KALINGA BARAKO DRIP COFFEE 10PCS,31,206,1,2025-08-31 15:15:34.25663+00,0003,false,,pcs
291,COFFEE BLENDS HOUSEBLEND ARABICA SAGADA-BENGUET-BARAKO 10PCS,31,206,1,2025-08-31 15:16:32.757008+00,0004,false,,pcs
292,CARESS TEATREE SCENT M 10UNDERPADS,30,196,1,2025-08-31 15:17:40.129803+00,4800488099741,false,,pcs
293,BEYBIKO DIAPERS MEDIUM 30PADS,30,260,1,2025-08-31 15:19:25.350316+00,4806525621012,false,,pcs
294,HERBANIKS 10-IN-1 TURMERIC INSTANT TEA (350G),31,350,2,2025-08-31 15:19:57.971882+00,0005,false,,pcs
295,BEYBIKO DIAPERS LARGE 30PADS,30,223,1,2025-08-31 15:20:05.877949+00,4806525621029,false,,pcs
296,HERBANIKS 10-IN-1 TURMERIC INSTANT TEA (100G),31,150,1,2025-08-31 15:21:03.276279+00,0006,false,,pcs
297,CARESS OVERNIGHT MAXI LARGE 8PADS,30,352,1,2025-08-31 15:21:39.183465+00,4800488958628,false,,pcs
298,MC CORNICK PINEAPPLE FLAVOR (20ML),31,57,3,2025-08-31 15:23:38.054319+00,052100089102,false,,pcs
299,MC CORNICK ORANGE FLAVOR (20ML),31,60,1,2025-08-31 15:24:29.340434+00,052100088969,false,,pcs
300,MC CORNICK PEPPERMINT FLAVOR (20ML),31,48,1,2025-08-31 15:25:23.511023+00,4806510073673,false,,pcs
301,HUGGIES SKIINPERFECT TAPE SMALL 38PCS,30,405,1,2025-08-31 15:26:14.661877+00,8888336021010,false,,pcs
302,MC CORNICK YELLOW FOOD COLORING (20ML),31,39,2,2025-08-31 15:26:21.86685+00,052100089355,false,,pcs
303,MC CORNICK BUTTER FLAVOR (20ML),31,49,1,2025-08-31 15:26:55.509562+00,4806510073659,false,,pcs
304,HUGGIES SKINPERFECT TAPE MEDIUM 34PCS,30,444,1,2025-08-31 15:27:19.478582+00,8888336021027,false,,pcs
305,MC CORNICK LEMON FLAVOR (20ML),31,58,1,2025-08-31 15:27:35.273843+00,052100089065,false,,pcs
306,MC CORNICK PANDAN FLAVOR (20ML),31,51,1,2025-08-31 15:28:17.967161+00,052100089010,false,,pcs
307,HUGGIES DRY DIAPERS NEWBORN 20PCS,30,171,1,2025-08-31 15:28:43.536543+00,8888336021287,false,,pcs
308,MC CORNICK MELON FLAVOR (20ML),31,70,2,2025-08-31 15:29:06.018497+00,052100089089,false,,pcs
309,TWINS LAMPEINPANTS XXXL 15+1PADFREE,30,196,1,2025-08-31 15:31:34.866023+00,4806506315527,false,,pcs
310,RACUMIN READY-MADE BAIT KLLS RAT (50G),30,86,1,2025-08-31 15:34:12.851568+00,4801962203036,false,,pcs
311,D-CYPHENOTHRIN ROACH KILLER 2PCS,30,71,1,2025-08-31 15:35:11.258867+00,6904866166327,false,,pcs
312,BAYGON MOSQUITO COIL VIOLET  10COILS (150G),30,24,1,2025-08-31 15:37:58.250997+00,4801234134495,false,,pcs
313,ADULT DIAPERS MAXSORB GEL  THAT SIT CARE XL 10PCS,30,230,2,2025-08-31 15:41:29.212555+00,0007,false,,pcs
314,ADULT DIAPERS MAXSORB GEL THAT SIT CARE SMALL 10PCS,30,210,1,2025-08-31 15:42:30.191108+00,0008,false,,pcs
315,ADULT DIAPERS MAXSORB GEL THAT SIT CARE LARGE 10PCS,30,220,2,2025-08-31 15:43:38.06891+00,0009,false,,pcs
316,EQ DRY BABY DIAPERS XXL 24+2PADS,30,371,1,2025-08-31 15:45:22.21098+00,4800488959038,false,,pcs
317,ECOLINK 13WATT LED BULB,30,123,2,2025-08-31 15:46:22.929478+00,8720169683051,false,,pcs
318,ECOLINK 9WATT LED BULB,30,95,0,2025-08-31 15:47:15.965653+00,8720169682566,false,,pcs
319,NESTLE COFFEE MATE THE ORIGINAL (80G),31,28,8,2025-08-31 15:47:24.056619+00,4800361420730,false,,pcs
320,NESTLE COFFEE MATE (150G),31,54,6,2025-08-31 15:48:05.260084+00,4800361390804,false,,pcs
321,ECOLINK 11WATT LEDBULB,30,106,2,2025-08-31 15:48:16.586109+00,8720169682603,false,,pcs
322,NESTLE COFFEE MATE 220G,31,74,5,2025-08-31 15:48:45.571998+00,4800361393232,false,,pcs
323,FOCUS LED 7WATT LEDBULB,30,91,3,2025-08-31 15:49:50.053139+00,4806525564661,false,,pcs
325,FOCUS LED 10WATT LEDBULB,30,1114,6,2025-08-31 15:50:52.666471+00,4806525564685,false,,pcs
327,FOCUS LED  5WATT LEDBULB,30,80,3,2025-08-31 15:51:31.801516+00,4806525564654,false,,pcs
328,FOCUS LED 3WATT LEDBULB,30,75,3,2025-08-31 15:52:10.268865+00,4806525564647,false,,pcs
329,BIRCH TREE FORTIFIED CHOCO DRINK,31,101,1,2025-08-31 15:52:20.264741+00,748485401645,false,,pcs
330,FOCUS  LED 12WATT LEDBULB,30,125,0,2025-08-31 15:53:01.237979+00,4806525564692,false,,pcs
332,FOCUS LED 21WATT LEDBULB,30,250,4,2025-08-31 15:53:44.070187+00,4806525565743,false,,pcs
333,GREAT TASTE ORIGINAL COFFEE MIX TWIN PACK (33G),31,15,7,2025-08-31 15:54:30.89604+00,4800016021169,false,,pcs
334,FOCUS LED 18WATT LEDBULB,30,193.25,1,2025-08-31 15:54:45.768107+00,4806525565682,false,,pcs
335,GREAT TASTE WHITE CREMA TWIN PACK (50G),31,14,34,2025-08-31 15:55:25.097939+00,4800016022180,false,,pcs
336,GREAT TASTE CHOCO TWIN PACK (50G),31,14,7,2025-08-31 15:56:05.307877+00,4800016022258,false,,pcs
337,GREAT TASTE CREAM-O TWIN PACK (56G),31,17,1,2025-08-31 15:56:59.208411+00,4800016024467,false,,pcs
338,GREATE TASTE BARAKO TWIN PACK (52G),31,14,29,2025-08-31 15:59:12.592309+00,4800016022432,false,,pcs
341,KOPIKO BROWN COFFEE TWIN PACK (26.5G),31,15,25,2025-08-31 16:02:30.817005+00,8998666001719,false,,pcs
342,CHAMPION ACTIVE CLEAN LEMON FRESH (275ML),30,95,3,2025-08-31 16:02:40.022651+00,4806501702261,false,,pcs
343,NESCAFE CLASSIC PURO (20G),31,31,5,2025-08-31 16:03:26.747496+00,4800361339186,false,,pcs
344,NESCAFE DECAF (20G),31,36,5,2025-08-31 16:03:57.459545+00,4800361375146,false,,pcs
345,JOY ANTIBAC DISHWASHING LIQUID (240ML),30,98,3,2025-08-31 16:03:59.195061+00,4902430093729,false,,pcs
346,NESCAFE CREAMYLATTE TWIN PACK (20G),31,16,32,2025-08-31 16:04:48.892765+00,4800361413992,false,,pcs
347,SMART ANTI-BACTERIAL DISHWASHING LIQUID KALAMANSI SCENT (250ML),30,52,7,2025-08-31 16:05:32.85436+00,4800045350087,false,,pcs
349,YEN YEN DISHWASHING LIQUID 350ML,30,23,1,2025-08-31 16:06:30.171058+00,4806519893579,false,,pcs
351,YEN YEN DISHWASHING LIQUID 500ML,30,34,4,2025-08-31 16:07:25.55667+00,4806519893555,false,,pcs
352,JERSEY FORTIFIED POWDERED MILK DRINK 28+5G,31,12,8,2025-08-31 16:08:41.43498+00,4806516761628,false,,pcs
355,MRS FLORWASH DISHWASHINGLIQUID CALAMANSI FRESH 350ML,30,20,1,2025-08-31 16:10:31.487369+00,04806539340084,false,,pcs
356,BEAR BRAND FORTIFIED POWDERED MILK DRINK 300G,31,125,0,2025-08-31 16:11:39.979555+00,4800361410892,false,,pcs
357,JOY KALAMANSI DISHWASHING LIQUID 250ML,30,99,4,2025-08-31 16:11:42.19959+00,4902430093835,false,,pcs
358,JOY KALAMANSI 3X STRONGER CLEANING POWER 780ML,30,236,1,2025-08-31 16:12:43.880413+00,4902430468770,false,,pcs
359,JOY ANTIBAC DISHWASHING LIQUID 325ML,30,140,0,2025-08-31 16:14:21.200217+00,4902430840019,false,,pcs
360,JOY EXPERT ANTIBAC DISHWASHINGLIQUID 17ML,30,9,13,2025-08-31 16:15:23.810706+00,4902430389549,false,,pcs
362,JOY LEMON DISHWASHING 3X STRONGER CLEANING POWER 40ML,30,13,5,2025-08-31 16:16:54.085258+00,4902430389563,false,,pcs
364,JOY KALAMANSI DISHWASHINGLIQUID 3X STRONGER CLEANING POWER 40ML,28,15,5,2025-08-31 16:17:56.672875+00,4902430389532,false,,pcs
365,NESTLE CERELAC WHEAT BANANA & MILK 250G,31,160,2,2025-08-31 16:18:47.436994+00,9556001132468,false,,pcs
366,SMART KALAMANSI DISHWASHING PASTE 200G,30,26,1,2025-08-31 16:19:21.977051+00,4800045310241,false,,pcs
367,NESTLE CERELAC MIXED FRUIT & SOYA 250G,31,160,2,2025-08-31 16:19:26.397487+00,9556001132048,false,,pcs
368,NESTLE CERELAC RICE & SOYA 250G,31,161,3,2025-08-31 16:20:08.956874+00,9556001132291,false,,pcs
369,SMART KALAMANSI DISHWASHING PASTE 400G,30,48,2,2025-08-31 16:20:13.315838+00,4800045310272,false,,pcs
